queue_index,queue_item_id,case_id,method_id,budget,terminal_status,metric_semantics,comparison_eligible,energy_hartree,FCI_energy_hartree,absolute_fci_error_hartree,delta_energy_vs_immutable_ceo_source_hartree,accepted_candidate_count,parameter_count,operators_blocks,logical_block_count,cnot_count,cnot_depth,total_depth,candidate_energy_evaluations,source_energy_evaluations,FCI_evaluations,production_N_dense_expm,total_registered_work,verifier_matrix_dimension,verifier_qubit_count,result_digest,receipt_digest,N_symbolic_checks,N_sparse_expm_multiply,N_state_probe_vectors,N_dense_expm,N_circuit_operator_builds,N_generator_materializations,candidate_generations,unique_semantic_candidates,unique_physical_states,rewrite_verifications,resource_recounts,optimizer_iterations,energy_evaluations,gradient_vector_evaluations,gradient_component_equivalents,hvp_evaluations,optimizer_starts,search_states,statevector_recomputations
0,s11-v2-item-v2:a68dfee7446bd6b08e7caaf329ffaa236994b4db8ece115af21a7bb18b098cc2,lih-3.0,immutable-ceo-star-source,LOW,FAILED_ENGINEERING_PRESERVED,not_available,False,NA,-7.7988431595024075,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,2654ae13db5585978e12c4d04ae11d2612952ed1f59e04919e5151cd9d56edbe,1cbe06c87c4b81f6c572bc993b6efe4ac15c481e294cde5c52516cf8379db111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,s11-v2-item-v2:a10396ee2db40d60d73d8ed44f2425ee3ebf63104f8f2c297058cbe4a6e1abf4,lih-3.0,same-structure-reoptimization,LOW,COMPLETED,accepted_result,True,-7.797909682469515,-7.7988431595024075,0.0009334770328921493,NA,1,15,15,15,107,30,171,1,0,0,0,8,0,0,f9afdf67c5ef113ef197257563306021e15d8ed43dc8436e5b2bd895d6a24421,2203fe8e538c2e9e2cd057bad9a9e6d96551426272fef9203f749166a83caee3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,3
2,s11-v2-item-v2:7e30eb71e976122ee8c25d54648f3c55ab5b24f631efa666798058130a8c4ad4,lih-3.0,structural-magnitude-pruning,LOW,CAP_REJECTED,not_available,False,NA,-7.7988431595024075,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,254,4096,12,5d472d4041b510b40b8c0b4c7b3bd931bf823ad1f89881c3ebeb471836b5048c,7d2d0dc404141beeda3b17f4327c3fa0c6c0aa50b40cfb12ef1519260677f36e,15,0,0,0,155,0,15,15,15,4,33,0,0,0,0,0,0,0,2
3,s11-v2-item-v2:01ef450c44050978104e98ff9570044f47b09944f5cf0b046783cd6de00b789d,lih-3.0,v4.1-one-shot-joint-compression,LOW,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-7.797909682469515,-7.7988431595024075,0.0009334770328921493,NA,0,15,15,15,107,30,171,12,0,0,0,235,4096,12,48248cc7c3613df1af8b7a2c12173da02b5603bd44c2185aa6248c45823a7d72,92b148fa546dbc454539c3249ed1abe9ed1e5d1abaee9b80ccfc4beb2ba179c3,4,0,0,0,45,0,4,4,4,4,12,10,12,11,121,0,1,0,3
4,s11-v2-item-v2:fee1e6cd0c704fcbee1d99a51f70fa6450319245ce81b32c00f906824f248590,lih-3.0,v5-fixed-source-whitelist-no-replenishment,LOW,COMPLETED,accepted_result,True,-7.79790968245605,-7.7988431595024075,0.0009334770463578224,NA,1,14,14,14,98,30,158,62,0,0,0,1063,4096,12,4c4e81f01c9a214cc6527a6b97fd47b889eea91c8dffc047d1a8157d27656828,126f51682d49651889ebc07f27b9b2a4f309c36bce91b32f4cd0c7411a5244ef,15,0,0,0,155,0,15,15,15,4,36,4,62,49,686,0,2,0,5
5,s11-v2-item-v2:c3aee86fa3cfd2d6321145bffa2222f8eb4f3eeb6d125cd5cd24f49b87737b65,lih-3.0,v5-sequential-with-rebuilding,LOW,COMPLETED,accepted_result,True,-7.79790968245605,-7.7988431595024075,0.0009334770463578224,NA,1,14,14,14,98,30,158,62,0,0,0,1063,4096,12,7c26c99aa0aa73056ce51e067ebb6c8cfcf88a2c786f51e6eab7dbcdbe23c371,051feb60cc77b24314c4dab2aa0490721a707641b4f02c9383a26f34cf900f4b,15,0,0,0,155,0,15,15,15,4,36,4,62,49,686,0,2,0,5
6,s11-v2-item-v2:e551b3d33192e238f7c34414071e8abce0b250326113e923620398af346e307b,lih-3.0,immutable-ceo-star-source,MEDIUM,COMPLETED,accepted_result,True,-7.797909682469515,-7.7988431595024075,0.0009334770328921493,0.0,0,15,15,15,107,30,171,0,0,0,0,2,0,0,c30a4529dee34dbe51693db7faa9a061a94d35d84d8591ec1a165d2e5b62501b,0399f5567b1f0b48b68f9635472df0e6783439ef410d224c126a693d3e4f48de,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7,s11-v2-item-v2:637b9258d8f028f1de391cb3a967d24ba885027b862d71955843491b53b22627,lih-3.0,same-structure-reoptimization,MEDIUM,COMPLETED,accepted_result,True,-7.797909682469515,-7.7988431595024075,0.0009334770328921493,0.0,1,15,15,15,107,30,171,1,0,0,0,8,0,0,73e37ea78978a39cd056fb132166eec764c7d6fceaf20e85f1864d4e6edbfca5,07574a14e8079fd404192738195cbb99d568a5eb8e87f323d6284ebc4cd4655f,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,3
8,s11-v2-item-v2:9aeeadd729cbd182a28db60d172e1b237fc0ef9771ae275742fcc5db7cdca7a6,lih-3.0,structural-magnitude-pruning,MEDIUM,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-7.797909682469515,-7.7988431595024075,0.0009334770328921493,NA,0,15,15,15,107,30,171,50,0,0,0,862,4096,12,0dae903da66ff063348dd8e54757a6d69fc28e6aa78356ef8e1001072c8d68a3,6c70676d5c9f55a9bf9367e5a018b1721274bc6adc9481dde0ffa612b9c771d0,15,0,0,0,155,0,15,15,15,4,34,0,50,37,518,0,1,0,3
9,s11-v2-item-v2:47c8fc79d6a33610fc84dc13dc5d2c03adb84c308abd6bb4a7b03cd207324c06,lih-3.0,v4.1-one-shot-joint-compression,MEDIUM,ALGORITHM_REJECTED,nonaccepted_terminal_observation,False,-7.797909682469515,-7.7988431595024075,0.0009334770328921493,NA,0,15,15,15,107,30,171,12,0,0,0,235,4096,12,0966344e578831894424d10828c62b46e68e2ccdad81c0e6cfec6ef71beb41fc,b126ada5361d92838c4b04970426f454798a9cdefbdf343bbb846cb5ad71c891,4,0,0,0,45,0,4,4,4,4,12,10,12,11,121,0,1,0,3
