case_id,budget,method_id,paired_eligible,ineligibility_reason,source_terminal_status,comparator_terminal_status,delta_energy_hartree,delta_absolute_fci_error_hartree,source_parameter_count,comparator_parameter_count,reduction_parameter_count_percent,source_operators_blocks,comparator_operators_blocks,reduction_operators_blocks_percent,source_cnot_count,comparator_cnot_count,reduction_cnot_count_percent,source_cnot_depth,comparator_cnot_depth,reduction_cnot_depth_percent,source_total_depth,comparator_total_depth,reduction_total_depth_percent
lih-3.0,LOW,same-structure-reoptimization,False,immutable_source_not_completed,FAILED_ENGINEERING_PRESERVED,COMPLETED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lih-3.0,LOW,structural-magnitude-pruning,False,immutable_source_not_completed,FAILED_ENGINEERING_PRESERVED,CAP_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lih-3.0,LOW,v4.1-one-shot-joint-compression,False,immutable_source_not_completed,FAILED_ENGINEERING_PRESERVED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lih-3.0,LOW,v5-fixed-source-whitelist-no-replenishment,False,immutable_source_not_completed,FAILED_ENGINEERING_PRESERVED,COMPLETED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lih-3.0,LOW,v5-sequential-with-rebuilding,False,immutable_source_not_completed,FAILED_ENGINEERING_PRESERVED,COMPLETED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lih-3.0,MEDIUM,same-structure-reoptimization,True,NA,COMPLETED,COMPLETED,0.0,0.0,15,15,0.0,15,15,0.0,107,107,0.0,30,30,0.0,171,171,0.0
lih-3.0,MEDIUM,structural-magnitude-pruning,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lih-3.0,MEDIUM,v4.1-one-shot-joint-compression,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lih-3.0,MEDIUM,v5-fixed-source-whitelist-no-replenishment,True,NA,COMPLETED,COMPLETED,5.669121983409298e-06,5.669121983409298e-06,15,13,13.333333333333334,15,13,13.333333333333334,107,96,10.280373831775702,30,30,0.0,171,151,11.695906432748538
lih-3.0,MEDIUM,v5-sequential-with-rebuilding,True,NA,COMPLETED,COMPLETED,5.669121983409298e-06,5.669121983409298e-06,15,13,13.333333333333334,15,13,13.333333333333334,107,96,10.280373831775702,30,30,0.0,171,151,11.695906432748538
lih-3.0,HIGH,same-structure-reoptimization,True,NA,COMPLETED,COMPLETED,0.0,0.0,15,15,0.0,15,15,0.0,107,107,0.0,30,30,0.0,171,171,0.0
lih-3.0,HIGH,structural-magnitude-pruning,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lih-3.0,HIGH,v4.1-one-shot-joint-compression,False,comparator_not_completed,COMPLETED,ALGORITHM_REJECTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lih-3.0,HIGH,v5-fixed-source-whitelist-no-replenishment,True,NA,COMPLETED,COMPLETED,5.669121983409298e-06,5.669121983409298e-06,15,13,13.333333333333334,15,13,13.333333333333334,107,96,10.280373831775702,30,30,0.0,171,151,11.695906432748538
lih-3.0,HIGH,v5-sequential-with-rebuilding,True,NA,COMPLETED,COMPLETED,5.669121983409298e-06,5.669121983409298e-06,15,13,13.333333333333334,15,13,13.333333333333334,107,96,10.280373831775702,30,30,0.0,171,151,11.695906432748538
h6-1.5,LOW,same-structure-reoptimization,True,NA,COMPLETED,COMPLETED,0.0,0.0,137,137,0.0,79,79,0.0,879,879,0.0,306,306,0.0,1595,1595,0.0
