record_type,case_id,budget,method_id,absolute_fci_error_hartree,cnot_count,total_depth,parameter_count,total_registered_work,terminal_status,reason,paired_eligible,classification
front_member,beh2-3.0,LOW,immutable-ceo-star-source,0.0013362343936158538,284,458,38,2,NA,NA,NA,NA
front_member,beh2-3.0,LOW,structural-magnitude-pruning,0.001336288299496502,275,445,37,1409,NA,NA,NA,NA
front_member,beh2-3.0,LOW,v5-fixed-source-whitelist-no-replenishment,0.0013362349980567956,275,445,37,1764,NA,NA,NA,NA
front_member,beh2-3.0,LOW,v5-sequential-with-rebuilding,0.0013362349980567956,275,445,37,1764,NA,NA,NA,NA
front_member,beh2-3.0,MEDIUM,immutable-ceo-star-source,0.0013362343936158538,284,458,38,2,NA,NA,NA,NA
front_member,beh2-3.0,MEDIUM,v5-fixed-source-whitelist-no-replenishment,0.0013362618730017317,275,442,36,3537,NA,NA,NA,NA
front_member,beh2-3.0,MEDIUM,v5-sequential-with-rebuilding,0.0013362618730017317,275,442,36,3537,NA,NA,NA,NA
front_member,beh2-3.0,HIGH,immutable-ceo-star-source,0.0013362343936158538,284,458,38,2,NA,NA,NA,NA
front_member,beh2-3.0,HIGH,structural-magnitude-pruning,0.001336288299496502,275,445,37,4116,NA,NA,NA,NA
front_member,beh2-3.0,HIGH,v5-fixed-source-whitelist-no-replenishment,0.0013363807394526361,266,426,34,7623,NA,NA,NA,NA
front_member,h4-1.5-known-development,LOW,immutable-ceo-star-source,0.0012486017451127651,80,126,10,2,NA,NA,NA,NA
front_member,h4-1.5-known-development,MEDIUM,immutable-ceo-star-source,0.0012486017451127651,80,126,10,2,NA,NA,NA,NA
front_member,h4-1.5-known-development,HIGH,immutable-ceo-star-source,0.0012486017451127651,80,126,10,2,NA,NA,NA,NA
front_member,h6-1.5,LOW,immutable-ceo-star-source,0.0013918955072833583,879,1595,137,2,NA,NA,NA,NA
front_member,h6-1.5,LOW,structural-magnitude-pruning,0.0013919577487540025,879,1595,136,9512,NA,NA,NA,NA
front_member,h6-1.5,MEDIUM,immutable-ceo-star-source,0.0013918955072833583,879,1595,137,2,NA,NA,NA,NA
front_member,h6-1.5,MEDIUM,structural-magnitude-pruning,0.0013925029801109545,879,1592,135,18954,NA,NA,NA,NA
front_member,h6-1.5,MEDIUM,v5-sequential-with-rebuilding,0.0013919029044551223,875,1584,136,19971,NA,NA,NA,NA
front_member,h6-1.5,HIGH,immutable-ceo-star-source,0.0013918955072833583,879,1595,137,2,NA,NA,NA,NA
front_member,h6-1.5,HIGH,structural-magnitude-pruning,0.0013926307527678539,877,1582,133,37627,NA,NA,NA,NA
front_member,h6-1.5,HIGH,v5-fixed-source-whitelist-no-replenishment,0.001392005044392075,867,1562,133,78307,NA,NA,NA,NA
front_member,h6-3.0,LOW,immutable-ceo-star-source,0.0015072406421183793,785,1493,149,2,NA,NA,NA,NA
front_member,h6-3.0,LOW,structural-magnitude-pruning,0.001507240733388926,785,1493,148,10334,NA,NA,NA,NA
front_member,h6-3.0,MEDIUM,immutable-ceo-star-source,0.0015072406421183793,785,1493,149,2,NA,NA,NA,NA
front_member,h6-3.0,MEDIUM,structural-magnitude-pruning,0.0015072438775178831,785,1490,147,20747,NA,NA,NA,NA
front_member,h6-3.0,MEDIUM,v5-fixed-source-whitelist-no-replenishment,0.00150724073338937,785,1493,148,23274,NA,NA,NA,NA
front_member,h6-3.0,MEDIUM,v5-sequential-with-rebuilding,0.00150724073338937,785,1493,148,23274,NA,NA,NA,NA
front_member,h6-3.0,HIGH,immutable-ceo-star-source,0.0015072406421183793,785,1493,149,2,NA,NA,NA,NA
front_member,h6-3.0,HIGH,structural-magnitude-pruning,0.001507280318794102,785,1487,145,41809,NA,NA,NA,NA
front_member,h6-3.0,HIGH,v5-fixed-source-whitelist-no-replenishment,0.0015072492140202343,781,1479,146,68465,NA,NA,NA,NA
front_member,lih-3.0,LOW,same-structure-reoptimization,0.0009334770328921493,107,171,15,8,NA,NA,NA,NA
front_member,lih-3.0,LOW,v5-fixed-source-whitelist-no-replenishment,0.0009334770463578224,98,158,14,1063,NA,NA,NA,NA
front_member,lih-3.0,LOW,v5-sequential-with-rebuilding,0.0009334770463578224,98,158,14,1063,NA,NA,NA,NA
front_member,lih-3.0,MEDIUM,immutable-ceo-star-source,0.0009334770328921493,107,171,15,2,NA,NA,NA,NA
front_member,lih-3.0,MEDIUM,v5-fixed-source-whitelist-no-replenishment,0.0009391461548755586,96,151,13,1685,NA,NA,NA,NA
front_member,lih-3.0,MEDIUM,v5-sequential-with-rebuilding,0.0009391461548755586,96,151,13,1685,NA,NA,NA,NA
front_member,lih-3.0,HIGH,immutable-ceo-star-source,0.0009334770328921493,107,171,15,2,NA,NA,NA,NA
front_member,lih-3.0,HIGH,v5-fixed-source-whitelist-no-replenishment,0.0009391461548755586,96,151,13,3098,NA,NA,NA,NA
front_member,lih-3.0,HIGH,v5-sequential-with-rebuilding,0.0009391461548755586,96,151,13,3098,NA,NA,NA,NA
exclusion,beh2-3.0,LOW,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,beh2-3.0,MEDIUM,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,beh2-3.0,HIGH,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h4-1.5-known-development,LOW,structural-magnitude-pruning,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h4-1.5-known-development,LOW,v4.1-one-shot-joint-compression,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h4-1.5-known-development,LOW,v5-fixed-source-whitelist-no-replenishment,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h4-1.5-known-development,LOW,v5-sequential-with-rebuilding,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
exclusion,h4-1.5-known-development,MEDIUM,structural-magnitude-pruning,NA,NA,NA,NA,NA,ALGORITHM_REJECTED,not_COMPLETED_or_missing_verified_objective,NA,NA
