group_type,group_id,n,n_COMPLETED,rate_COMPLETED,n_ALGORITHM_REJECTED,rate_ALGORITHM_REJECTED,n_CAP_REJECTED,rate_CAP_REJECTED,n_FAILED_ENGINEERING_PRESERVED,rate_FAILED_ENGINEERING_PRESERVED
overall,all,90,58,0.6444444444444445,23,0.25555555555555554,8,0.08888888888888889,1,0.011111111111111112
method,immutable-ceo-star-source,15,14,0.9333333333333333,0,0.0,0,0.0,1,0.06666666666666667
method_budget,immutable-ceo-star-source|LOW,5,4,0.8,0,0.0,0,0.0,1,0.2
method_budget,immutable-ceo-star-source|MEDIUM,5,5,1.0,0,0.0,0,0.0,0,0.0
method_budget,immutable-ceo-star-source|HIGH,5,5,1.0,0,0.0,0,0.0,0,0.0
method,same-structure-reoptimization,15,15,1.0,0,0.0,0,0.0,0,0.0
method_budget,same-structure-reoptimization|LOW,5,5,1.0,0,0.0,0,0.0,0,0.0
method_budget,same-structure-reoptimization|MEDIUM,5,5,1.0,0,0.0,0,0.0,0,0.0
method_budget,same-structure-reoptimization|HIGH,5,5,1.0,0,0.0,0,0.0,0,0.0
method,structural-magnitude-pruning,15,9,0.6,5,0.3333333333333333,1,0.06666666666666667,0,0.0
method_budget,structural-magnitude-pruning|LOW,5,3,0.6,1,0.2,1,0.2,0,0.0
method_budget,structural-magnitude-pruning|MEDIUM,5,3,0.6,2,0.4,0,0.0,0,0.0
method_budget,structural-magnitude-pruning|HIGH,5,3,0.6,2,0.4,0,0.0,0,0.0
method,v4.1-one-shot-joint-compression,15,0,0.0,12,0.8,3,0.2,0,0.0
method_budget,v4.1-one-shot-joint-compression|LOW,5,0,0.0,3,0.6,2,0.4,0,0.0
method_budget,v4.1-one-shot-joint-compression|MEDIUM,5,0,0.0,4,0.8,1,0.2,0,0.0
method_budget,v4.1-one-shot-joint-compression|HIGH,5,0,0.0,5,1.0,0,0.0,0,0.0
method,v5-fixed-source-whitelist-no-replenishment,15,10,0.6666666666666666,3,0.2,2,0.13333333333333333,0,0.0
method_budget,v5-fixed-source-whitelist-no-replenishment|LOW,5,2,0.4,1,0.2,2,0.4,0,0.0
method_budget,v5-fixed-source-whitelist-no-replenishment|MEDIUM,5,4,0.8,1,0.2,0,0.0,0,0.0
method_budget,v5-fixed-source-whitelist-no-replenishment|HIGH,5,4,0.8,1,0.2,0,0.0,0,0.0
method,v5-sequential-with-rebuilding,15,10,0.6666666666666666,3,0.2,2,0.13333333333333333,0,0.0
method_budget,v5-sequential-with-rebuilding|LOW,5,2,0.4,1,0.2,2,0.4,0,0.0
method_budget,v5-sequential-with-rebuilding|MEDIUM,5,4,0.8,1,0.2,0,0.0,0,0.0
method_budget,v5-sequential-with-rebuilding|HIGH,5,4,0.8,1,0.2,0,0.0,0,0.0
case_budget,beh2-3.0|LOW,6,5,0.8333333333333334,1,0.16666666666666666,0,0.0,0,0.0
case_budget,beh2-3.0|MEDIUM,6,5,0.8333333333333334,1,0.16666666666666666,0,0.0,0,0.0
case_budget,beh2-3.0|HIGH,6,5,0.8333333333333334,1,0.16666666666666666,0,0.0,0,0.0
case_budget,h4-1.5-known-development|LOW,6,2,0.3333333333333333,4,0.6666666666666666,0,0.0,0,0.0
case_budget,h4-1.5-known-development|MEDIUM,6,2,0.3333333333333333,4,0.6666666666666666,0,0.0,0,0.0
case_budget,h4-1.5-known-development|HIGH,6,2,0.3333333333333333,4,0.6666666666666666,0,0.0,0,0.0
case_budget,h6-1.5|LOW,6,3,0.5,0,0.0,3,0.5,0,0.0
case_budget,h6-1.5|MEDIUM,6,5,0.8333333333333334,0,0.0,1,0.16666666666666666,0,0.0
case_budget,h6-1.5|HIGH,6,5,0.8333333333333334,1,0.16666666666666666,0,0.0,0,0.0
case_budget,h6-3.0|LOW,6,3,0.5,0,0.0,3,0.5,0,0.0
case_budget,h6-3.0|MEDIUM,6,5,0.8333333333333334,1,0.16666666666666666,0,0.0,0,0.0
case_budget,h6-3.0|HIGH,6,5,0.8333333333333334,1,0.16666666666666666,0,0.0,0,0.0
case_budget,lih-3.0|LOW,6,3,0.5,1,0.16666666666666666,1,0.16666666666666666,1,0.16666666666666666
case_budget,lih-3.0|MEDIUM,6,4,0.6666666666666666,2,0.3333333333333333,0,0.0,0,0.0
case_budget,lih-3.0|HIGH,6,4,0.6666666666666666,2,0.3333333333333333,0,0.0,0,0.0
